band,image_name,method,method_source,available,missing_reason,valid_pixels,ref_valid_pixels,valid_ratio_on_ref,AbsRel,Agree@1%,Agree@5%,Agree@10%
NIR,DJI_20251217164942_0001_D.JPG,From-scratch,Model_NIR,True,,45834,65100,0.7040552995391705,0.018046423040744275,0.3051459293394777,0.6760061443932411,0.7037327188940092
NIR,DJI_20251217164942_0001_D.JPG,Geometry-unfrozen,Model_NIR,True,,64961,65100,0.9978648233486943,0.02462283976326068,0.35390168970814134,0.894900153609831,0.9971274961597543
NIR,DJI_20251217164942_0001_D.JPG,MMS_retained-self,Model_NIR,True,,59884,65100,0.9198771121351766,0.029276789095219066,0.4553763440860215,0.8031950844854071,0.876605222734255
NIR,DJI_20251217164942_0001_D.JPG,UMGS-J,Model_NIR,True,,64937,65100,0.9974961597542242,0.024081227424141517,0.3641321044546851,0.9012442396313364,0.9965745007680492
NIR,DJI_20251217164942_0001_D.JPG,UMGS-I,Model_NIR,True,,64937,65100,0.9974961597542242,0.024081227424141517,0.3641321044546851,0.9012442396313364,0.9965745007680492
NIR,DJI_20251217165032_0025_D.JPG,From-scratch,Model_NIR,True,,48212,65100,0.740583717357911,0.019498033292506874,0.32325652841781877,0.6938402457757297,0.7391551459293395
NIR,DJI_20251217165032_0025_D.JPG,Geometry-unfrozen,Model_NIR,True,,65087,65100,0.9998003072196621,0.026561488289251728,0.3372503840245776,0.8573732718894009,0.998678955453149
NIR,DJI_20251217165032_0025_D.JPG,MMS_retained-self,Model_NIR,True,,62910,65100,0.9663594470046083,0.03994783622676157,0.5001689708141321,0.8578648233486943,0.9276344086021505
NIR,DJI_20251217165032_0025_D.JPG,UMGS-J,Model_NIR,True,,65089,65100,0.9998310291858679,0.025896950960622313,0.34861751152073733,0.867741935483871,0.9988786482334869
NIR,DJI_20251217165032_0025_D.JPG,UMGS-I,Model_NIR,True,,65089,65100,0.9998310291858679,0.025896950960622313,0.34861751152073733,0.867741935483871,0.9988786482334869
NIR,DJI_20251217165121_0049_D.JPG,From-scratch,Model_NIR,True,,55259,65100,0.8488325652841782,0.016004770468882136,0.44924731182795696,0.8083410138248848,0.8476804915514593
NIR,DJI_20251217165121_0049_D.JPG,Geometry-unfrozen,Model_NIR,True,,65100,65100,1.0,0.019748425402045952,0.46425499231950845,0.9157603686635944,0.9998617511520738
NIR,DJI_20251217165121_0049_D.JPG,MMS_retained-self,Model_NIR,True,,65007,65100,0.9985714285714286,0.010162983353147354,0.7383410138248848,0.9843625192012289,0.9983410138248848
NIR,DJI_20251217165121_0049_D.JPG,UMGS-J,Model_NIR,True,,65100,65100,1.0,0.019130684116826942,0.4741013824884793,0.9220430107526881,0.999815668202765
