method,metric,n_scenes,mean,median,std,sem,min,max
MS-Splatting retained,Valid,4,0.8006882782422868,0.7794738529982893,0.15201732657108358,0.07600866328554179,0.6440936195911346,0.999711787381434
MS-Splatting retained,AbsRel,4,0.19510682185851114,0.1335561855617051,0.1879881522401527,0.09399407612007635,0.04811631172971471,0.4651986045809197
MS-Splatting retained,Ag1,4,0.34804083004324343,0.42087120066395095,0.19331682517689436,0.09665841258844718,0.06542598829916614,0.4849949305459056
MS-Splatting retained,Ag5,4,0.5260953726311756,0.5391109930128453,0.18926470701284118,0.09463235350642059,0.2897350908315578,0.7364244136674541
MS-Splatting retained,Ag10,4,0.6098955155795563,0.568905474063481,0.14469428652071187,0.07234714326035593,0.4940501040060352,0.8077210101852281
Scratch-MS,Valid,4,0.4097182381513687,0.3919145008193812,0.3951129803399679,0.19755649016998394,0.06329686783281191,0.7917470831339005
Scratch-MS,AbsRel,4,0.020124984798826833,0.01895892948292546,0.007366228173463086,0.003683114086731543,0.012975379650455171,0.029606700579001242
Scratch-MS,Ag1,4,0.21145314135270069,0.18778177791186212,0.20910049112579737,0.10455024556289869,0.028033895386147402,0.4422151142009311
Scratch-MS,Ag5,4,0.37705331461339525,0.3670767568018848,0.3593178882985855,0.17965894414929276,0.0613343857420354,0.712725359107776
Scratch-MS,Ag10,4,0.39870357097459475,0.37455340966445183,0.3837225010726552,0.1918612505363276,0.06307639216120162,0.7826310724082737
UMGS-I,Valid,4,0.9511744998801701,0.9478599954506997,0.045039985388530226,0.022519992694265113,0.908983155273184,0.9999948533460971
UMGS-I,AbsRel,4,0.02260452511275266,0.015147380763763953,0.016325402179654926,0.008162701089827463,0.013150034466098004,0.04697330445738473
UMGS-I,Ag1,4,0.4646628045028449,0.48084663119146936,0.1540922517334001,0.07704612586670005,0.27282412339617396,0.6241338322322669
UMGS-I,Ag5,4,0.866537009298926,0.8981884981343741,0.09436461803359385,0.047182309016796924,0.728364753655411,0.941406287271545
UMGS-I,Ag10,4,0.9222765153959114,0.9097147124702856,0.029028888241674992,0.014514444120837496,0.9041178377877623,0.9655587988553117
UMGS-J,Valid,4,0.9511744998801701,0.9478599954506997,0.045039985388530226,0.022519992694265113,0.908983155273184,0.9999948533460971
UMGS-J,AbsRel,4,0.02260452511275266,0.015147380763763953,0.016325402179654926,0.008162701089827463,0.013150034466098004,0.04697330445738473
UMGS-J,Ag1,4,0.4646628045028449,0.48084663119146936,0.1540922517334001,0.07704612586670005,0.27282412339617396,0.6241338322322669
UMGS-J,Ag5,4,0.866537009298926,0.8981884981343741,0.09436461803359385,0.047182309016796924,0.728364753655411,0.941406287271545
UMGS-J,Ag10,4,0.9222765153959114,0.9097147124702856,0.029028888241674992,0.014514444120837496,0.9041178377877623,0.9655587988553117
Unfrozen-support,Valid,4,0.9575118229202764,0.9544600202573317,0.03911639100529104,0.01955819550264552,0.9211285378299177,0.9999987133365242
Unfrozen-support,AbsRel,4,0.02287235136377272,0.01538201303290489,0.016519809030780326,0.008259904515390163,0.013215967943842687,0.0475094114454384
Unfrozen-support,Ag1,4,0.4594313049249664,0.4834274039500503,0.15159902895614805,0.07579951447807402,0.2644904040637979,0.6063800077359672
Unfrozen-support,Ag5,4,0.8710626288958097,0.9092480738439264,0.10080543796508226,0.05040271898254113,0.7218671031029176,0.9438872647924683
Unfrozen-support,Ag10,4,0.9285521354417978,0.921060299549403,0.02762804948883736,0.01381402474441868,0.9039377049011585,0.9681502377672266
