method,scene_internal,scene_published,audit_scope,count_equal,identity_equal,max_xyz_diff,mean_xyz_diff,max_scale_diff,max_rot_diff,max_opacity_diff,num_gaussians,product_valid,source_file,note
UMGS-J,self_m3m,UMGS-Field,joint checkpoint invariant audit,True,True,0.0,,0.0,0.0,0.0,3148502,True,E:\paper\SIGS\data\d_20260511\01_metrics\flat\paper_metric_snapshot_20260502_2305\1E7F9D6C3F0F_joint_training_audit.json,Authoritative joint checkpoint; exported views only.
UMGS-J,raw001,Vineyard-01,joint checkpoint invariant audit,True,True,0.0,,0.0,0.0,0.0,4044269,True,E:\paper\SIGS\data\d_20260511\01_metrics\flat\paper_metric_snapshot_20260502_2305\830BFC64380C_joint_training_audit.json,Authoritative joint checkpoint; exported views only.
UMGS-J,raw003,Vineyard-03,joint checkpoint invariant audit,True,True,0.0,,0.0,0.0,0.0,3788571,True,E:\paper\SIGS\data\d_20260511\01_metrics\flat\paper_metric_snapshot_20260502_2305\366651766109_joint_training_audit.json,Authoritative joint checkpoint; exported views only.
UMGS-J,ms_golf,Aerial-Golf,joint checkpoint invariant audit,True,True,0.0,,0.0,0.0,0.0,5289754,True,E:\paper\SIGS\data\d_20260511\01_metrics\flat\paper_metric_snapshot_20260502_2305\96C8D976CE16_joint_training_audit.json,Authoritative joint checkpoint; exported views only.
Band-only,ms_golf,Aerial-Golf,per-band independent model count audit,False,False,,,,,,G:2246731;R:1465612;RE:2499046;NIR:1321150,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\fromscratch_ms_golf_shared_support_audit.json,Counts differ across bands; no common Gaussian identity.
Band-only,raw001,Vineyard-01,per-band independent model count audit,False,False,,,,,,G:39584;R:37743;RE:41221;NIR:41049,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\fromscratch_raw001_shared_support_audit.json,Counts differ across bands; no common Gaussian identity.
Band-only,raw003,Vineyard-03,per-band independent model count audit,False,False,,,,,,G:49962;R:49324;RE:50044;NIR:50701,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\fromscratch_raw003_shared_support_audit.json,Counts differ across bands; no common Gaussian identity.
Unfrozen-support,ms_golf,Aerial-Golf,per-band geometry-unfrozen drift audit vs G,True,False,0.06606119871139526,,,,,5289754,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\geom_unfrozen_ms_golf_shared_support_audit.json,"Counts can remain equal, but band-specific xyz drift breaks the support contract."
Unfrozen-support,raw001,Vineyard-01,per-band geometry-unfrozen drift audit vs G,True,False,0.054909706115722656,,,,,4044269,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\geom_unfrozen_raw001_shared_support_audit.json,"Counts can remain equal, but band-specific xyz drift breaks the support contract."
Unfrozen-support,raw003,Vineyard-03,per-band geometry-unfrozen drift audit vs G,True,False,0.04840850830078125,,,,,3788571,False,E:\paper\SIGS\data\d_20260511\02_depth_valid\four_scene_rep_completion_20260512\summary\geom_unfrozen_raw003_shared_support_audit.json,"Counts can remain equal, but band-specific xyz drift breaks the support contract."
