method,scene_internal,scene_published,band,reference_band,source_file,source_file_sha256,support_sha256,num_gaussians,exists,count_equal,identity_equal,max_xyz_diff,mean_xyz_diff,max_scale_diff,mean_scale_diff,max_rot_diff,mean_rot_diff,max_opacity_diff,mean_opacity_diff,product_valid,note
UMGS-I,self_m3m,UMGS-Field,G,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw_self/out/Model_G/point_cloud/iteration_60000/point_cloud.ply,72f6338a3ecbb7e902e23f4fa925f532963df99d2769db9e38c21416bffd71c1,6da4a13d14dba9ad02db83e0f1db331ae53844642d268c46d61268e3f5c9600e,3155441,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,self_m3m,UMGS-Field,R,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw_self/out/Model_R/point_cloud/iteration_60000/point_cloud.ply,d7b7abb799a521cb644f0baefe2b6f7d23f5af0e42ddc45b43021908284002e2,6da4a13d14dba9ad02db83e0f1db331ae53844642d268c46d61268e3f5c9600e,3155441,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,self_m3m,UMGS-Field,RE,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw_self/out/Model_RE/point_cloud/iteration_60000/point_cloud.ply,bf037bc57e3486a8cdedeb7994c0940657c7d3cfec88949de1157062db01a2c3,6da4a13d14dba9ad02db83e0f1db331ae53844642d268c46d61268e3f5c9600e,3155441,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,self_m3m,UMGS-Field,NIR,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw_self/out/Model_NIR/point_cloud/iteration_60000/point_cloud.ply,609a0e078504bef01865bf4c850ae851e6ec1be9f6efb82b13ab373cad70e6bc,6da4a13d14dba9ad02db83e0f1db331ae53844642d268c46d61268e3f5c9600e,3155441,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw001,Vineyard-01,G,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw001/out/Model_G/point_cloud/iteration_60000/point_cloud.ply,2926a1cf586b3f8e3f1b254264bd4f2950a6a66b70e459a76c323060d5d5820f,cac210ac3c58cfc2b4109c4fd010626fe17737758848e1c396e72803e5d4e539,4044269,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw001,Vineyard-01,R,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw001/out/Model_R/point_cloud/iteration_60000/point_cloud.ply,54988766e088a98962ff48123a93354ee4d7602a2fa7b847a25a07a501efc822,cac210ac3c58cfc2b4109c4fd010626fe17737758848e1c396e72803e5d4e539,4044269,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw001,Vineyard-01,RE,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw001/out/Model_RE/point_cloud/iteration_60000/point_cloud.ply,180d34ab0230d7bc9da7f03703df6be2764d9f89fa59365c7e06964f8fbd5529,cac210ac3c58cfc2b4109c4fd010626fe17737758848e1c396e72803e5d4e539,4044269,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw001,Vineyard-01,NIR,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw001/out/Model_NIR/point_cloud/iteration_60000/point_cloud.ply,60c00d2ba62a7111662dc150f7f16b8053b08a0583299cd8bc891e2372b485eb,cac210ac3c58cfc2b4109c4fd010626fe17737758848e1c396e72803e5d4e539,4044269,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw003,Vineyard-03,G,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw003/out/Model_G/point_cloud/iteration_60000/point_cloud.ply,6728c4cf70b33b5c956e7076d7420e69b7a8b036b560e37793eba59579af45f0,1071d9ae548ab05cf3838d77d06cbfc6cdb1726600ac1b4feee653855f2533ca,3788571,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw003,Vineyard-03,R,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw003/out/Model_R/point_cloud/iteration_60000/point_cloud.ply,924a6388e79a51268ef0807eafde9ea5268cbc6dfb30d522f58b0178406d1e03,1071d9ae548ab05cf3838d77d06cbfc6cdb1726600ac1b4feee653855f2533ca,3788571,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
UMGS-I,raw003,Vineyard-03,RE,G,/root/autodl-tmp/runs/paper_autodl_full_20260429/e3_raw7_gpu_colmap_20260429_180200/raw003/out/Model_RE/point_cloud/iteration_60000/point_cloud.ply,700ae3ad3bb5dfa6eb547c0592a2b6f282d18b79231d474e1f0d49215c99214a,1071d9ae548ab05cf3838d77d06cbfc6cdb1726600ac1b4feee653855f2533ca,3788571,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,support fields compared against Model_G; appearance fields intentionally ignored
